video,exercise,ELBOW_ANGLE_left_min,ELBOW_ANGLE_left_max,ELBOW_ANGLE_right_min,ELBOW_ANGLE_right_max,SHOULDER_SWING_left_min,SHOULDER_SWING_left_max,SHOULDER_SWING_right_min,SHOULDER_SWING_right_max,ELBOW_FLARE_left_min,ELBOW_FLARE_left_max,ELBOW_FLARE_right_min,ELBOW_FLARE_right_max,HIP_EXTENSION_left_min,HIP_EXTENSION_left_max,HIP_EXTENSION_right_min,HIP_EXTENSION_right_max,SHIN_ANGLE_left_min,SHIN_ANGLE_left_max,SHIN_ANGLE_right_min,SHIN_ANGLE_right_max,TORSO_SWING_left_min,TORSO_SWING_left_max,TORSO_SWING_right_min,TORSO_SWING_right_max,SHOULDER_ABDUCTION_left_min,SHOULDER_ABDUCTION_left_max,SHOULDER_ABDUCTION_right_min,SHOULDER_ABDUCTION_right_max,ELBOW_BEND_left_min,ELBOW_BEND_left_max,ELBOW_BEND_right_min,ELBOW_BEND_right_max,KNEE_ANGLE_left_min,KNEE_ANGLE_left_max,KNEE_ANGLE_right_min,KNEE_ANGLE_right_max,TORSO_STABILITY_left_min,TORSO_STABILITY_left_max,TORSO_STABILITY_right_min,TORSO_STABILITY_right_max,BODY_LINE_left_min,BODY_LINE_left_max,BODY_LINE_right_min,BODY_LINE_right_max,HIP_HIKE_left_min,HIP_HIKE_left_max,HIP_HIKE_right_min,HIP_HIKE_right_max,BODY_SWING_left_min,BODY_SWING_left_max,BODY_SWING_right_min,BODY_SWING_right_max,TORSO_LEAN_left_min,TORSO_LEAN_left_max,TORSO_LEAN_right_min,TORSO_LEAN_right_max,TORSO_ARCH_left_min,TORSO_ARCH_left_max,TORSO_ARCH_right_min,TORSO_ARCH_right_max,BACK_ANGLE_VERTICAL_left_min,BACK_ANGLE_VERTICAL_left_max,BACK_ANGLE_VERTICAL_right_min,BACK_ANGLE_VERTICAL_right_max,BACK_ANGLE_HORIZONTAL_left_min,BACK_ANGLE_HORIZONTAL_left_max,BACK_ANGLE_HORIZONTAL_right_min,BACK_ANGLE_HORIZONTAL_right_max,ELBOW_PIN_left_min,ELBOW_PIN_left_max,ELBOW_PIN_right_min,ELBOW_PIN_right_max
barbell biceps curl_2.mp4,barbell biceps curl,11.35142202968939,179.43579391668126,9.49189259110557,179.15429588289226,163.2004073121446,175.21216886628682,168.54618671343917,177.0109435656197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_20.mp4,barbell biceps curl,66.20395803280567,169.4811546746121,72.58502172666215,169.92037360478253,11.258038262878618,41.71671131739846,3.643922047833382,153.0505782499288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_21.mp4,barbell biceps curl,4.1989493796185275,170.05169872439774,48.573987506033134,177.49935267026035,2.5620103557451173,177.16649816177917,21.657813096169363,163.68507139156176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_22.mp4,barbell biceps curl,45.064312070618854,177.70702719275414,1.4339499803891045,177.62044742692513,49.00525997516042,178.4159100355343,103.29185444424073,178.3659708731388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_23.mp4,barbell biceps curl,1.5245608815199447,179.58588329308046,1.65341011892076,179.51459633483594,167.07798198491238,174.96813198253176,164.72022837035118,173.85580334274727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_24.mp4,barbell biceps curl,1.1511225240946286,179.6261374381729,0.9602784134913196,179.5312686815788,164.3026162886522,175.4313061245038,167.57599746323842,175.3787844289728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_25.mp4,barbell biceps curl,7.22411974611329,179.63698236413245,3.389739974308104,179.32191693705084,165.84972799384957,177.70817661015934,168.7816979829065,174.403358984841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_26.mp4,barbell biceps curl,2.574844458668938,179.62110737678861,2.4028329389548446,179.43680804225247,167.81724328936895,175.62607157352963,166.4964887186155,174.61639268084264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_27.mp4,barbell biceps curl,18.463126143166555,170.9344789225476,118.07347893569629,178.52076009565153,6.241787983888674,169.79577320133683,0.4146259520947441,109.30036290262643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell biceps curl_28.mp4,barbell biceps curl,17.567803716403965,171.5367986301612,74.38362411142153,176.72780699646657,2.3412124210927754,179.2403842235639,150.3602653031135,178.91062897196906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
